collection_month,insurer,total_policies,renewed_policies,total_premium,renewed_premium,renewal_rate
2022-01,Bajaj Allianz,106,96,16294284600,14855598000,90.56603773584906
2022-01,HDFC Life,173,158,25433778700,23281975900,91.32947976878613
2022-01,ICICI Prudential,116,101,18302222300,16035127400,87.06896551724138
2022-01,LIC,1165,976,175920401700,147999925000,83.77682403433477
2022-01,Max Life,102,91,15405122600,13634902300,89.2156862745098
2022-01,SBI Life,166,144,25789072200,22469253000,86.74698795180723
2022-01,Tata AIA,96,79,14106067000,12040667400,82.29166666666666
2022-02,Aditya Birla Sun Life,149,122,22966658000,19121223000,81.87919463087249
2022-02,Bajaj Allianz,109,95,16282286300,14221191800,87.1559633027523
2022-02,HDFC Life,132,111,20251684200,16952126200,84.0909090909091
2022-02,ICICI Prudential,139,125,20920275600,18991806600,89.92805755395683
2022-02,LIC,1055,885,160282019100,134436946100,83.88625592417061
2022-02,Max Life,95,78,14678784500,12220282200,82.10526315789474
2022-02,SBI Life,170,142,26059082600,21944768400,83.52941176470588
2022-02,Tata AIA,91,81,13429882600,11840524800,89.01098901098901
2022-03,Aditya Birla Sun Life,148,116,22353977800,17274750100,78.37837837837837
2022-03,Bajaj Allianz,99,89,15845813900,14285281100,89.8989898989899
2022-03,HDFC Life,127,107,19286338400,16050851100,84.25196850393701
2022-03,ICICI Prudential,102,84,14330621800,11754113500,82.35294117647058
2022-03,LIC,1274,1094,192658191300,165067705700,85.8712715855573
2022-03,Max Life,96,83,14631149600,12524629500,86.45833333333334
2022-03,SBI Life,158,138,23797644900,20754097000,87.34177215189874
2022-03,Tata AIA,109,94,16577526800,14514652600,86.23853211009175
2022-04,Aditya Birla Sun Life,162,137,26325555700,22492434100,84.5679012345679
2022-04,Bajaj Allianz,108,86,18488183100,14980278500,79.62962962962963
2022-04,HDFC Life,139,118,23441392800,19797648200,84.89208633093526
2022-04,ICICI Prudential,113,100,19492705800,17677052900,88.49557522123894
2022-04,LIC,1199,1008,195121300400,164862713000,84.07005838198499
2022-04,Max Life,107,82,18272227100,14261409000,76.63551401869158
2022-04,SBI Life,166,135,26346618300,21527879600,81.32530120481928
2022-04,Tata AIA,95,80,15442340900,12890260000,84.21052631578947
2022-05,Aditya Birla Sun Life,167,148,26751973800,23686124900,88.62275449101796
2022-05,Bajaj Allianz,118,104,20719964800,18589719800,88.13559322033898
2022-05,HDFC Life,163,133,26806185600,21792536900,81.59509202453987
2022-05,ICICI Prudential,140,122,23395089700,20465830700,87.14285714285714
2022-05,LIC,1236,1088,200289308800,176872084200,88.02588996763754
2022-05,Max Life,93,76,15199996200,12556902100,81.72043010752688
2022-05,SBI Life,170,145,28200667100,24116380400,85.29411764705883
2022-05,Tata AIA,136,113,21751088400,18140332100,83.08823529411765
2022-06,Aditya Birla Sun Life,139,121,22416101000,19678549300,87.05035971223022
2022-06,Bajaj Allianz,106,93,17319984000,15024905500,87.73584905660378
2022-06,HDFC Life,132,119,21680427700,19629922900,90.15151515151516
2022-06,ICICI Prudential,113,99,17865289000,15533674400,87.61061946902655
2022-06,LIC,1183,1005,193749802900,164577599300,84.9535080304311
2022-06,Max Life,104,94,16688629400,15414542400,90.38461538461539
2022-06,SBI Life,174,155,28340270000,25687040800,89.08045977011494
2022-06,Tata AIA,117,102,19673952300,17253041400,87.17948717948718
2022-07,Aditya Birla Sun Life,145,126,22379715300,19496833400,86.89655172413792
2022-07,Bajaj Allianz,107,95,17367536000,15493780300,88.78504672897196
2022-07,HDFC Life,161,130,25798577500,21050725600,80.74534161490683
2022-07,ICICI Prudential,114,94,18776273000,15576695900,82.45614035087719
2022-07,LIC,1189,1032,196658481400,170961731900,86.79562657695541
2022-07,Max Life,104,88,17210585900,14389467100,84.61538461538461
2022-07,SBI Life,173,150,29335973300,25592825000,86.70520231213872
2022-07,Tata AIA,102,90,17043889200,15090671100,88.23529411764706
2022-08,Aditya Birla Sun Life,157,137,26528657700,23115001000,87.26114649681529
2022-08,Bajaj Allianz,109,98,18239639400,16612831500,89.90825688073394
2022-08,HDFC Life,150,114,23726211400,18185079200,76.0
2022-08,ICICI Prudential,154,128,24496653100,20512435300,83.11688311688312
2022-08,LIC,1226,1063,200670846400,174806489200,86.7047308319739
2022-08,Max Life,107,95,17658584300,15931677800,88.78504672897196
2022-08,SBI Life,186,158,29780215100,25023515000,84.94623655913979
2022-08,Tata AIA,108,95,17326186200,14986119200,87.96296296296296
2022-09,Aditya Birla Sun Life,152,122,25434721000,20568754800,80.26315789473685
2022-09,Bajaj Allianz,118,95,19950148600,16531689700,80.50847457627118
2022-09,HDFC Life,147,128,25045238300,21928605200,87.07482993197279
2022-09,ICICI Prudential,124,110,20195035600,17753435500,88.70967741935483
2022-09,LIC,1239,1046,208662173700,176456173600,84.42292171105731
2022-09,Max Life,92,72,15483675200,11946326600,78.26086956521739
2022-09,SBI Life,164,141,26656853300,22826530200,85.97560975609755
2022-09,Tata AIA,104,91,16632064300,14421200400,87.5
2022-10,Aditya Birla Sun Life,150,125,23238057200,19453214000,83.33333333333334
2022-10,Bajaj Allianz,115,95,18829849000,15775039100,82.6086956521739
2022-10,HDFC Life,140,118,23253681700,19669478400,84.28571428571429
2022-10,ICICI Prudential,136,109,22184482600,18227860700,80.14705882352942
2022-10,LIC,1124,940,184836886000,155202418300,83.62989323843416
2022-10,Max Life,115,96,19148374400,16043760700,83.47826086956522
2022-10,SBI Life,162,141,27403611700,23882116800,87.03703703703704
2022-10,Tata AIA,110,91,18539911800,15269973400,82.72727272727273
2022-11,Aditya Birla Sun Life,126,107,21183062300,18021324200,84.92063492063492
2022-11,Bajaj Allianz,104,89,17881709000,15104679300,85.57692307692307
2022-11,HDFC Life,150,132,24670687500,21604044500,88.0
2022-11,ICICI Prudential,112,94,18211932300,15026948600,83.92857142857143
2022-11,LIC,1203,1030,196783475100,169538036500,85.61928512053201
2022-11,Max Life,110,94,17839004300,15168117600,85.45454545454545
2022-11,SBI Life,177,155,29675277200,26037761000,87.57062146892656
2022-11,Tata AIA,80,64,13242573800,10513509000,80.0
2022-12,Aditya Birla Sun Life,142,124,23671798700,20612951400,87.32394366197182
2022-12,Bajaj Allianz,100,87,15527020400,13747633600,87.0
2022-12,HDFC Life,127,114,21891638100,19874445200,89.76377952755905
2022-12,ICICI Prudential,125,109,20037114800,17451334400,87.2
2022-12,LIC,1188,1040,197841602400,173887947100,87.54208754208754
2022-12,Max Life,105,84,18045329700,14850203700,80.0
2022-12,SBI Life,199,167,32463795100,27750297500,83.91959798994975
2022-12,Tata AIA,99,84,15938741200,13586988600,84.84848484848484
2023-01,Aditya Birla Sun Life,148,126,24593116800,20870738700,85.13513513513513
2023-01,Bajaj Allianz,98,83,15812427900,13505367100,84.6938775510204
2023-01,HDFC Life,155,130,25878188600,21813663900,83.87096774193549
2023-01,ICICI Prudential,134,110,22127285600,18550861200,82.08955223880598
2023-01,LIC,1198,1021,199004075300,169410182700,85.22537562604342
2023-01,Max Life,109,95,18687345900,16710997900,87.1559633027523
2023-01,SBI Life,149,131,24273696600,21610669400,87.91946308724832
2023-01,Tata AIA,93,84,15444961700,13765386300,90.32258064516128
2023-02,Aditya Birla Sun Life,128,112,22815375400,20445813300,87.5
2023-02,Bajaj Allianz,108,92,17440579300,14999649000,85.18518518518519
2023-02,HDFC Life,130,112,21779604600,18758188300,86.15384615384616
2023-02,ICICI Prudential,117,96,18215274000,14906962600,82.05128205128204
2023-02,LIC,1047,888,171028372100,145939323400,84.81375358166189
2023-02,Max Life,108,98,18185182100,16643483400,90.74074074074075
2023-02,SBI Life,160,130,25744515200,21396410200,81.25
2023-02,Tata AIA,97,79,14967563300,12094321700,81.44329896907216
2023-03,Aditya Birla Sun Life,121,107,20273063600,17850238900,88.42975206611571
2023-03,Bajaj Allianz,105,89,16684065700,14370015600,84.76190476190476
2023-03,HDFC Life,131,117,21518767300,19376631600,89.31297709923665
2023-03,ICICI Prudential,122,110,20832452300,18847245700,90.1639344262295
2023-03,LIC,1167,998,189409154600,162951241700,85.51842330762639
2023-03,Max Life,97,77,16157979500,12894013400,79.38144329896907
2023-03,SBI Life,149,118,25283061800,20095214700,79.19463087248322
2023-03,Tata AIA,118,106,19448784500,17367663600,89.83050847457628
2023-04,Aditya Birla Sun Life,141,118,26566683900,21900728800,83.68794326241135
2023-04,Bajaj Allianz,113,97,21006337300,18330384700,85.84070796460178
2023-04,HDFC Life,138,114,24793577800,20929474400,82.6086956521739
2023-04,ICICI Prudential,127,104,22477013800,18543554300,81.88976377952756
2023-04,LIC,1154,974,207883686300,175847803300,84.40207972270363
2023-04,Max Life,106,90,17090368100,14519133200,84.90566037735849
2023-04,SBI Life,184,158,33656491900,28983267200,85.86956521739131
2023-04,Tata AIA,87,75,15846455600,13934901400,86.20689655172413
2023-05,Aditya Birla Sun Life,137,108,25129530800,19684604900,78.83211678832117
2023-05,Bajaj Allianz,98,85,17193980400,15006405600,86.73469387755102
2023-05,HDFC Life,133,110,24253450900,19698184100,82.70676691729322
2023-05,ICICI Prudential,135,107,23793337600,19120982800,79.25925925925927
2023-05,LIC,1232,1053,220605003600,188633385500,85.47077922077922
2023-05,Max Life,94,74,16406489400,13048016000,78.72340425531915
2023-05,SBI Life,161,135,29120482000,24379745800,83.85093167701864
2023-05,Tata AIA,114,100,19998585300,17826753700,87.71929824561403
2023-06,Aditya Birla Sun Life,161,135,28421453700,23716407900,83.85093167701864
2023-06,Bajaj Allianz,102,88,17827004800,15648208600,86.27450980392157
2023-06,HDFC Life,141,120,25764998600,21833994300,85.1063829787234
2023-06,ICICI Prudential,140,122,26344446700,22830529300,87.14285714285714
2023-06,LIC,1170,981,210226120700,177897713200,83.84615384615385
2023-06,Max Life,89,77,15984287200,13733510900,86.51685393258427
2023-06,SBI Life,175,143,32421560000,26548954100,81.71428571428572
2023-06,Tata AIA,97,85,17202343800,14984944300,87.62886597938144
2023-07,Aditya Birla Sun Life,138,117,25748733800,21934205400,84.78260869565217
2023-07,Bajaj Allianz,109,92,20216578300,16898046300,84.40366972477065
2023-07,HDFC Life,143,126,25468452600,22563512100,88.11188811188812
2023-07,ICICI Prudential,133,111,23266581300,19275412500,83.45864661654136
2023-07,LIC,1205,1035,217056047300,188078147300,85.89211618257261
2023-07,Max Life,111,94,20133013600,16834988900,84.68468468468468
2023-07,SBI Life,189,165,34793236800,30552939200,87.3015873015873
2023-07,Tata AIA,107,96,19584080400,17570882000,89.7196261682243
2023-08,Aditya Birla Sun Life,142,126,25547497700,22528414300,88.73239436619718
2023-08,Bajaj Allianz,100,79,18629061500,14620371500,79.0
2023-08,HDFC Life,153,126,29223880400,23812117100,82.35294117647058
2023-08,ICICI Prudential,112,91,19179961700,15760000700,81.25
2023-08,LIC,1199,998,217824620600,181303548200,83.23603002502085
2023-08,Max Life,97,87,17319868900,15611121800,89.69072164948454
2023-08,SBI Life,149,127,27864817900,24196596800,85.23489932885906
2023-08,Tata AIA,94,78,16333377500,13686336500,82.97872340425532
2023-09,Aditya Birla Sun Life,141,124,24954808100,22322740500,87.94326241134752
2023-09,Bajaj Allianz,116,86,22242645200,16439092500,74.13793103448276
2023-09,HDFC Life,136,117,23764050100,20233832400,86.02941176470588
2023-09,ICICI Prudential,122,103,22606761800,18796181800,84.42622950819673
2023-09,LIC,1164,1015,208958412200,183440643500,87.19931271477664
2023-09,Max Life,113,101,20904338200,18435974800,89.38053097345133
2023-09,SBI Life,166,139,30768708400,26165481500,83.73493975903614
2023-09,Tata AIA,95,80,17622386700,14988622400,84.21052631578947
2023-10,Aditya Birla Sun Life,126,102,21861469800,17914774000,80.95238095238095
2023-10,Bajaj Allianz,113,92,19233586100,15548892300,81.41592920353983
2023-10,HDFC Life,146,125,26074576200,22326251500,85.61643835616438
2023-10,ICICI Prudential,119,99,21922347300,18550934700,83.19327731092437
2023-10,LIC,1254,1080,222744540900,192495004300,86.1244019138756
2023-10,Max Life,91,85,16879723400,15805638500,93.4065934065934
2023-10,SBI Life,181,150,32676573000,27398360600,82.87292817679558
2023-10,Tata AIA,99,81,17067203600,13877583300,81.81818181818183
2023-11,Aditya Birla Sun Life,158,134,27943028700,23887857900,84.81012658227847
2023-11,Bajaj Allianz,103,90,18489902900,16178691100,87.37864077669903
2023-11,HDFC Life,130,122,22910548100,21587254100,93.84615384615384
2023-11,ICICI Prudential,121,110,22946454800,20934384100,90.9090909090909
2023-11,LIC,1218,1028,220110460600,186743231300,84.40065681444992
2023-11,Max Life,99,88,17542985100,15821849800,88.88888888888889
2023-11,SBI Life,179,147,32344518900,26983484500,82.12290502793296
2023-11,Tata AIA,100,92,17680198300,16259579100,92.0
2023-12,Aditya Birla Sun Life,171,145,30453476700,25706762500,84.7953216374269
2023-12,Bajaj Allianz,105,90,18464088400,16098936900,85.71428571428571
2023-12,HDFC Life,121,105,22964051800,19821321500,86.77685950413223
2023-12,ICICI Prudential,111,94,20676915300,17531418700,84.68468468468468
2023-12,LIC,1203,1030,216905010800,187283341400,85.61928512053201
2023-12,Max Life,104,86,18587416100,15292371500,82.6923076923077
2023-12,SBI Life,174,151,31361258600,27575298700,86.7816091954023
2023-12,Tata AIA,112,100,20274201800,18027912700,89.28571428571429
2024-01,Aditya Birla Sun Life,144,117,26507318300,21582890900,81.25
2024-01,Bajaj Allianz,94,83,17178691400,15329001000,88.29787234042553
2024-01,HDFC Life,128,112,24271452800,21522933800,87.5
2024-01,ICICI Prudential,113,97,20577668100,17675217000,85.84070796460178
2024-01,LIC,1180,1014,214401891600,185890605900,85.9322033898305
2024-01,Max Life,113,95,20309561400,17140582700,84.070796460177
2024-01,SBI Life,182,162,31724434600,28702971100,89.01098901098901
2024-01,Tata AIA,97,81,17472626000,14813207800,83.50515463917526
2024-02,Aditya Birla Sun Life,139,120,26568187700,23287339000,86.33093525179856
2024-02,Bajaj Allianz,106,88,19281024000,16377064800,83.01886792452831
2024-02,HDFC Life,138,110,23820115700,18848966000,79.71014492753623
2024-02,ICICI Prudential,111,94,19257719700,16313182600,84.68468468468468
2024-02,LIC,1151,982,210213096600,180559479200,85.31711555169417
2024-02,Max Life,97,80,18179754900,15038786500,82.4742268041237
2024-02,SBI Life,170,149,30967434500,26768179500,87.6470588235294
2024-02,Tata AIA,110,92,19091591800,16476655900,83.63636363636363
2024-03,Aditya Birla Sun Life,133,113,24702353200,20462246000,84.9624060150376
2024-03,Bajaj Allianz,102,87,19314447400,16535866400,85.29411764705883
2024-03,HDFC Life,152,131,28587783400,25002280700,86.18421052631578
2024-03,ICICI Prudential,121,99,21915039800,18135573000,81.81818181818183
2024-03,LIC,1202,1014,219437058300,184542907000,84.35940099833611
2024-03,Max Life,120,101,21530602100,18382288600,84.16666666666667
2024-03,SBI Life,181,152,31725596100,26637672700,83.97790055248619
2024-03,Tata AIA,115,93,20064602200,16381749500,80.8695652173913
2024-04,Aditya Birla Sun Life,163,138,33187674500,28002226600,84.66257668711657
2024-04,Bajaj Allianz,104,89,19845056000,16829051000,85.57692307692307
2024-04,HDFC Life,158,139,31527362300,27392676000,87.9746835443038
2024-04,ICICI Prudential,149,122,27330351900,22854058200,81.87919463087249
2024-04,LIC,1172,1010,226147099100,195123242900,86.17747440273038
2024-04,Max Life,106,91,20808620400,17942268600,85.84905660377359
2024-04,SBI Life,162,141,31437213200,27867642300,87.03703703703704
2024-04,Tata AIA,94,79,18178896600,15234813300,84.04255319148936
2024-05,Aditya Birla Sun Life,138,111,26818953700,21716864600,80.43478260869566
2024-05,Bajaj Allianz,101,87,20608794800,18009172100,86.13861386138613
2024-05,HDFC Life,150,117,29085760200,23019130500,78.0
2024-05,ICICI Prudential,107,85,21079730100,16748253400,79.43925233644859
2024-05,LIC,1159,994,227628698300,196453167400,85.76358930112166
2024-05,Max Life,115,94,22636627200,18171803400,81.73913043478261
2024-05,SBI Life,150,126,28261691400,23339132200,84.0
2024-05,Tata AIA,114,95,23047830500,19472547600,83.33333333333334
2024-06,Aditya Birla Sun Life,121,105,24380974500,21555209500,86.77685950413223
2024-06,Bajaj Allianz,95,76,18946150100,15439507500,80.0
2024-06,HDFC Life,136,119,25312237500,21948409200,87.5
2024-06,ICICI Prudential,133,118,27145420700,24216381600,88.7218045112782
2024-06,LIC,1127,982,221093650100,193357845500,87.13398402839397
2024-06,Max Life,109,88,22215782600,17849498400,80.73394495412845
2024-06,SBI Life,180,147,35753596900,29318526700,81.66666666666667
2024-06,Tata AIA,110,101,21589969000,19926535200,91.81818181818183
2024-07,Aditya Birla Sun Life,152,137,29896527100,26568991700,90.13157894736842
2024-07,Bajaj Allianz,100,84,19035161200,16052819000,84.0
2024-07,HDFC Life,154,128,30073983600,25279286600,83.11688311688312
2024-07,ICICI Prudential,137,115,25158391900,20683559200,83.94160583941606
2024-07,LIC,1240,1059,238280554800,204020723200,85.40322580645162
2024-07,Max Life,115,95,22464073700,18436156800,82.6086956521739
2024-07,SBI Life,183,162,36717783400,32499728600,88.52459016393442
2024-07,Tata AIA,88,78,17360589300,15780363700,88.63636363636364
2024-08,Aditya Birla Sun Life,142,117,28742294200,23959965700,82.3943661971831
2024-08,Bajaj Allianz,111,98,21471993400,18910441900,88.28828828828829
2024-08,HDFC Life,148,127,29046196300,24806237700,85.8108108108108
2024-08,ICICI Prudential,121,102,23177686500,19750051500,84.29752066115702
2024-08,LIC,1268,1079,250849286000,215764248400,85.09463722397477
2024-08,Max Life,121,102,23515528500,19548391300,84.29752066115702
2024-08,SBI Life,154,140,29354122500,26685585200,90.9090909090909
2024-08,Tata AIA,95,80,18605468100,16189663600,84.21052631578947
2024-09,Aditya Birla Sun Life,159,137,29873339400,25907005800,86.16352201257862
2024-09,Bajaj Allianz,86,76,17165850700,15043632800,88.37209302325581
2024-09,HDFC Life,116,94,22839220000,18244873600,81.03448275862068
2024-09,ICICI Prudential,121,101,24714578000,20994813300,83.47107438016529
2024-09,LIC,1197,1016,232642595800,198135856400,84.87886382623225
2024-09,Max Life,99,84,19701413000,16725381800,84.84848484848484
2024-09,SBI Life,165,145,34346538800,30338124800,87.87878787878788
2024-09,Tata AIA,94,80,17877515300,15532800900,85.1063829787234
2024-10,Aditya Birla Sun Life,153,130,30887488700,26234619100,84.9673202614379
2024-10,Bajaj Allianz,120,100,24383856700,20520807400,83.33333333333334
2024-10,HDFC Life,133,115,26372397900,22837612000,86.46616541353383
2024-10,ICICI Prudential,103,90,20370538100,17803920800,87.37864077669903
2024-10,LIC,1233,1057,238915717500,205946274500,85.72587185725872
2024-10,Max Life,103,94,20649632600,18603314600,91.2621359223301
2024-10,SBI Life,171,153,32227925500,29159834000,89.47368421052632
2024-10,Tata AIA,107,90,22173261800,18973042900,84.11214953271028
2024-11,Aditya Birla Sun Life,129,100,24807704900,18914399100,77.51937984496125
2024-11,Bajaj Allianz,115,104,23381327400,20713037200,90.43478260869566
2024-11,HDFC Life,155,134,30394986200,26320683400,86.45161290322581
2024-11,ICICI Prudential,135,119,25136870700,22075418100,88.14814814814815
2024-11,LIC,1182,1005,228470683100,196618742200,85.0253807106599
2024-11,Max Life,93,79,18233813300,14652237800,84.94623655913979
2024-11,SBI Life,154,136,30296636900,27035043900,88.31168831168831
2024-11,Tata AIA,107,83,21888596200,17162412100,77.57009345794393
2024-12,Aditya Birla Sun Life,152,129,30165659300,25291338200,84.86842105263158
2024-12,Bajaj Allianz,99,85,20549338800,17886966200,85.85858585858585
2024-12,HDFC Life,148,127,26797200900,23223727500,85.8108108108108
2024-12,ICICI Prudential,143,121,27046611000,23020484000,84.61538461538461
2024-12,LIC,1222,1056,238745550100,208397512000,86.41571194762683
2024-12,Max Life,103,82,19605275800,15784329200,79.6116504854369
2024-12,SBI Life,168,140,32935680700,27565282700,83.33333333333334
2024-12,Tata AIA,102,89,20440079300,18104410800,87.25490196078431
2025-01,Aditya Birla Sun Life,141,117,28003065900,23394143700,82.97872340425532
2025-01,Bajaj Allianz,115,102,23177003900,21082208100,88.69565217391305
2025-01,HDFC Life,153,133,28846736400,25136202600,86.9281045751634
2025-01,ICICI Prudential,137,119,26386517900,22652471900,86.86131386861314
2025-01,LIC,1237,1063,241807132800,208031998800,85.93371059013742
2025-01,Max Life,107,93,21199320100,18422522900,86.91588785046729
2025-01,SBI Life,169,148,33519695000,29374822900,87.57396449704143
2025-01,Tata AIA,106,93,20613832400,18166638400,87.73584905660378
2025-02,Aditya Birla Sun Life,135,113,25577249500,21297627900,83.7037037037037
2025-02,Bajaj Allianz,86,74,16603876400,14503615700,86.04651162790698
2025-02,HDFC Life,127,114,23464469800,21177161700,89.76377952755905
2025-02,ICICI Prudential,116,104,22215912000,20009376400,89.65517241379311
2025-02,LIC,1050,911,204662178400,177715408700,86.76190476190476
2025-02,Max Life,103,89,19716206200,17279449800,86.40776699029125
2025-02,SBI Life,160,137,31832944800,27561018400,85.625
2025-02,Tata AIA,92,82,18760423600,16719145700,89.13043478260869
2025-03,Aditya Birla Sun Life,169,143,32464089600,27483699600,84.61538461538461
2025-03,Bajaj Allianz,104,88,20796542900,17751086100,84.61538461538461
2025-03,HDFC Life,130,110,25899342300,21901680800,84.61538461538461
2025-03,ICICI Prudential,132,120,26369746100,24120448400,90.9090909090909
2025-03,LIC,1181,1022,231833212700,201016369300,86.53683319221
2025-03,Max Life,119,97,22736710600,18462902400,81.5126050420168
2025-03,SBI Life,168,144,31293890000,27008664100,85.71428571428571
2025-03,Tata AIA,114,99,20442134200,17567419900,86.8421052631579
