collection_month,payment_mode,total_policies,renewed_policies,total_premium,renewed_premium,renewal_rate
2022-03,Monthly,884,747,124060161500,105796351900,84.50226244343891
2022-03,Quarterly,521,448,76126697400,64871708100,85.98848368522073
2022-04,Annual,527,460,98366320900,86281683200,87.28652751423151
2022-04,Half-yearly,165,130,27548711900,21721130700,78.78787878787878
2022-04,Monthly,848,694,128063471700,105225619300,81.83962264150944
2022-04,Quarterly,549,462,88951819600,75261242100,84.15300546448088
2022-05,Annual,557,496,102976877300,92356754200,89.04847396768402
2022-05,Half-yearly,205,175,34401993000,29370507000,85.36585365853658
2022-05,Monthly,908,773,137448472600,117356812200,85.13215859030836
2022-05,Quarterly,553,485,88286931500,77135837700,87.70343580470163
2022-06,Annual,556,495,102455120400,91149951700,89.02877697841727
2022-06,Half-yearly,165,146,27071615200,24037197400,88.48484848484848
2022-06,Monthly,841,706,125926493200,105759327400,83.94768133174792
2022-06,Quarterly,506,441,82281227500,71852799500,87.15415019762845
2022-07,Annual,506,458,96274041600,87080980100,90.51383399209486
2022-07,Half-yearly,156,133,26525047700,22768855800,85.25641025641025
2022-07,Monthly,914,759,138742122600,115308035800,83.04157549234135
2022-07,Quarterly,519,455,83029819700,72494858600,87.66859344894027
2022-08,Annual,510,449,95540725700,84112947100,88.0392156862745
2022-08,Half-yearly,170,143,29167941300,25000036500,84.11764705882354
2022-08,Monthly,918,781,138860755200,117707957400,85.07625272331155
2022-08,Quarterly,599,515,94857571400,82352207200,85.97662771285476
2022-09,Annual,527,466,100191030600,88811175300,88.42504743833017
2022-09,Half-yearly,190,163,32207952300,27455557900,85.78947368421052
2022-09,Monthly,881,707,137277425200,109994875100,80.24971623155504
2022-09,Quarterly,542,469,88383501900,76171107700,86.53136531365314
2022-10,Annual,482,417,91860596100,79864410200,86.51452282157676
2022-10,Half-yearly,174,146,28266757100,23846486500,83.9080459770115
2022-10,Monthly,881,720,134890811000,109747613100,81.72531214528944
2022-10,Quarterly,515,432,82416690200,70065351600,83.88349514563107
2022-11,Annual,520,457,99472904300,87429828600,87.88461538461539
2022-11,Half-yearly,156,141,25229422400,22906830700,90.38461538461539
2022-11,Monthly,892,741,136678856200,113059755900,83.07174887892377
2022-11,Quarterly,494,426,78106538600,67618005500,86.23481781376519
2022-12,Annual,553,500,102774784000,92718138800,90.41591320072332
2022-12,Half-yearly,189,167,32841098300,28927796300,88.35978835978835
2022-12,Monthly,864,732,132904002100,113348941900,84.72222222222221
2022-12,Quarterly,479,410,76897156000,66766924500,85.59498956158664
2023-01,Annual,519,456,96201172400,84413335500,87.86127167630057
2023-01,Half-yearly,168,148,29482921900,26100270700,88.09523809523809
2023-01,Monthly,863,724,133355419400,112102203400,83.89339513325609
2023-01,Quarterly,534,452,86781584700,73622057600,84.6441947565543
2023-02,Annual,458,407,83554491700,74958421000,88.8646288209607
2023-02,Half-yearly,143,120,24184797800,20694564900,83.91608391608392
2023-02,Monthly,813,673,123346503500,102690831000,82.77982779827798
2023-02,Quarterly,481,407,79090673000,66840335000,84.61538461538461
2023-03,Annual,502,446,94336772200,83867835900,88.84462151394422
2023-03,Half-yearly,163,132,27664101900,22709856200,80.98159509202453
2023-03,Monthly,843,709,126640488600,106907734500,84.10438908659549
2023-03,Quarterly,502,435,80965966600,70266838600,86.65338645418326
2023-04,Annual,491,429,101619069100,88403564100,87.37270875763747
2023-04,Half-yearly,162,136,29984385800,25550889700,83.9506172839506
2023-04,Monthly,865,716,143503390300,119681183200,82.77456647398844
2023-04,Quarterly,532,449,94213769500,79353610300,84.3984962406015
2023-05,Annual,528,453,109194852100,94087935200,85.79545454545455
2023-05,Half-yearly,162,129,30925486700,24241279300,79.62962962962963
2023-05,Monthly,882,728,143720391300,118874345700,82.53968253968253
2023-05,Quarterly,532,462,92660129900,80194518200,86.8421052631579
2023-06,Annual,531,455,108596509600,92557711200,85.68738229755178
2023-06,Half-yearly,148,128,28246977900,24681192500,86.48648648648648
2023-06,Monthly,866,724,142852839300,120303300900,83.60277136258661
2023-06,Quarterly,530,444,94495888700,79652058000,83.77358490566039
2023-07,Annual,537,478,111645965600,100448629100,89.01303538175046
2023-07,Half-yearly,157,133,27787958200,23571571700,84.71337579617835
2023-07,Monthly,901,760,151095110300,127313373300,84.35072142064372
2023-07,Quarterly,540,465,95737690000,82374559600,86.11111111111111
2023-08,Annual,503,442,104252277800,91771754400,87.8727634194831
2023-08,Half-yearly,170,145,32907875800,27813571400,85.29411764705883
2023-08,Monthly,835,668,141912421400,113404376500,80.0
2023-08,Quarterly,538,457,92850511200,78528804600,84.94423791821562
2023-09,Annual,531,478,109693694600,99259614200,90.01883239171374
2023-09,Half-yearly,181,148,32666834500,26736245300,81.76795580110497
2023-09,Monthly,830,689,138109345300,114358461400,83.01204819277108
2023-09,Quarterly,511,450,91352236300,80468248500,88.06262230919765
2023-10,Annual,538,474,108669493500,95401143800,88.10408921933085
2023-10,Half-yearly,171,147,31884081800,27878119600,85.96491228070175
2023-10,Monthly,910,757,149372033000,124176985100,83.1868131868132
2023-10,Quarterly,510,436,88534412000,76461190700,85.49019607843137
2023-11,Annual,529,474,108451617100,97396641300,89.60302457466919
2023-11,Half-yearly,195,166,35724700200,30516572800,85.12820512820512
2023-11,Monthly,858,710,144062819200,119915858000,82.75058275058275
2023-11,Quarterly,526,461,91728960900,80567259800,87.6425855513308
2023-12,Annual,559,504,115194400000,104169557200,90.16100178890876
2023-12,Half-yearly,167,141,30873657200,26317560000,84.4311377245509
2023-12,Monthly,883,744,146877259800,123636134400,84.25821064552662
2023-12,Quarterly,492,412,86741102500,73214112300,83.73983739837398
2024-01,Annual,519,465,106914428900,96221324900,89.59537572254335
2024-01,Half-yearly,168,144,30768536100,26660650100,85.71428571428571
2024-01,Monthly,827,683,137448296700,114205649900,82.58766626360338
2024-01,Quarterly,537,469,97312382500,85569785300,87.33705772811918
2024-02,Annual,527,471,108993872800,96575225500,89.37381404174573
2024-02,Half-yearly,151,123,26620802600,21684245600,81.45695364238411
2024-02,Monthly,882,721,148782469400,123026559100,81.74603174603175
2024-02,Quarterly,462,400,82981780100,72383623300,86.58008658008657
2024-03,Annual,542,478,111878540600,98072985100,88.19188191881919
2024-03,Half-yearly,152,128,28004269400,23227690900,84.21052631578947
2024-03,Monthly,882,733,148865769000,124486100800,83.10657596371883
2024-03,Quarterly,550,451,98528903500,80293807100,82.0
2024-04,Annual,529,476,115666834500,103907136900,89.98109640831758
2024-04,Half-yearly,181,154,35653637000,30509226200,85.0828729281768
2024-04,Monthly,878,736,158889814000,132838756000,83.82687927107062
2024-04,Quarterly,520,443,98251988500,83990859800,85.1923076923077
2024-05,Annual,527,459,119412045800,104216623300,87.09677419354838
2024-05,Half-yearly,159,141,30962761800,27505898100,88.67924528301887
2024-05,Monthly,854,692,153337407600,124974369600,81.0304449648712
2024-05,Quarterly,494,417,95455871000,80233180200,84.41295546558705
2024-06,Annual,504,456,112753400800,101993608100,90.47619047619048
2024-06,Half-yearly,166,150,32556594400,29588736500,90.36144578313254
2024-06,Monthly,828,688,151240370500,125823369300,83.09178743961353
2024-06,Quarterly,513,442,99887415700,86206199700,86.15984405458089
2024-07,Annual,552,498,120186192100,108285100600,90.21739130434783
2024-07,Half-yearly,182,153,37231857000,31139365400,84.06593406593407
2024-07,Monthly,887,721,159018791500,129125440100,81.28523111612176
2024-07,Quarterly,548,486,102550224400,90771722700,88.6861313868613
2024-08,Annual,527,460,119631356800,105536279000,87.28652751423151
2024-08,Half-yearly,167,144,34804857200,29960851700,86.22754491017965
2024-08,Monthly,963,804,173677954500,145617164500,83.48909657320873
2024-08,Quarterly,503,437,96648407000,84500290100,86.87872763419483
2024-09,Annual,531,460,116726941500,100964502500,86.62900188323917
2024-09,Half-yearly,158,129,31497117800,25895025200,81.64556962025317
2024-09,Monthly,859,720,154384124700,130091293000,83.81839348079161
2024-09,Quarterly,489,424,96552867000,83971668700,86.70756646216769
2024-10,Annual,527,469,118146574800,105552016300,88.9943074003795
2024-10,Half-yearly,173,150,34401968400,30030513800,86.70520231213872
2024-10,Monthly,874,728,157946561800,131412743900,83.29519450800915
2024-10,Quarterly,549,482,105485713800,93084151300,87.7959927140255
2024-11,Annual,530,468,115380805800,101926151100,88.30188679245283
2024-11,Half-yearly,151,126,30831831000,25696802700,83.44370860927152
2024-11,Monthly,893,746,161598860100,135902956300,83.53863381858902
2024-11,Quarterly,496,420,94799121800,79966063700,84.67741935483872
2024-12,Annual,531,464,116083126800,102076054100,87.38229755178908
2024-12,Half-yearly,167,150,34101589300,30519458400,89.82035928143712
2024-12,Monthly,898,752,162860279300,137293502900,83.74164810690424
2024-12,Quarterly,541,463,103240400500,89385035200,85.58225508317929
2025-01,Annual,573,515,128314601500,114616070600,89.87783595113437
2025-01,Half-yearly,158,135,32173090700,27251710600,85.44303797468355
2025-01,Monthly,871,729,157802464000,133057100000,83.69690011481056
2025-01,Quarterly,563,489,105263148200,91336128100,86.85612788632326
2025-02,Annual,490,440,107438391100,96594111300,89.79591836734694
2025-02,Half-yearly,146,116,28321002900,22355237100,79.45205479452055
2025-02,Monthly,775,665,141373132400,121878957200,85.80645161290322
2025-02,Quarterly,458,403,85700734300,75434498700,87.99126637554585
2025-03,Annual,529,462,118560835000,103854632500,87.33459357277883
2025-03,Half-yearly,161,138,31397492000,27079270200,85.71428571428571
2025-03,Monthly,896,755,160866903600,135940656500,84.26339285714286
2025-03,Quarterly,531,468,101010437800,88437711400,88.13559322033898
