collection_month,policy_type,total_policies,renewed_policies,total_premium,renewed_premium,renewal_rate
2023-08,Money Back,285,234,50364277200,41322283300,82.10526315789474
2023-08,Term Life,635,540,87155078900,74226934800,85.03937007874016
2023-08,ULIP,316,270,68260406800,58703768500,85.44303797468355
2023-08,Whole Life,259,205,59053458600,46900142000,79.15057915057915
2023-09,Endowment,544,471,104787965800,90676583100,86.58088235294117
2023-09,Money Back,315,272,57054037400,49096668800,86.34920634920636
2023-09,Term Life,613,527,81705968600,70808630800,85.97063621533442
2023-09,ULIP,310,273,66023031200,58452949100,88.06451612903226
2023-09,Whole Life,271,222,62251107700,51787737600,81.91881918819189
2023-10,Endowment,602,509,116371647700,99085514900,84.5514950166113
2023-10,Money Back,316,269,54739714200,46903538100,85.12658227848101
2023-10,Term Life,642,558,83804261600,73101640100,86.91588785046729
2023-10,ULIP,284,236,59911530100,50143140900,83.09859154929578
2023-10,Whole Life,285,242,63632866700,54683605200,84.91228070175438
2023-11,Endowment,548,473,107393403100,92824307800,86.3138686131387
2023-11,Money Back,314,271,56647916300,49432918400,86.30573248407643
2023-11,Term Life,667,571,90256604000,77918466400,85.6071964017991
2023-11,ULIP,309,270,65290385600,57037255800,87.37864077669903
2023-11,Whole Life,270,226,60379788400,51183383500,83.7037037037037
2023-12,Endowment,581,502,111620450300,96343248000,86.40275387263338
2023-12,Money Back,291,249,50690352000,43676574000,85.56701030927834
2023-12,Term Life,612,521,81960199500,69911962600,85.13071895424837
2023-12,ULIP,309,272,65328929200,57905345600,88.02588996763754
2023-12,Whole Life,308,257,70086488500,59500233700,83.44155844155844
2024-01,Endowment,589,508,112406802100,97932399100,86.24787775891342
2024-01,Money Back,327,275,57696808700,49315324400,84.09785932721712
2024-01,Term Life,570,488,78509433600,67668665900,85.6140350877193
2024-01,ULIP,309,268,63813814400,56033078100,86.73139158576052
2024-01,Whole Life,256,222,60016785400,51707942700,86.71875
2024-02,Endowment,524,450,101020717400,86893197200,85.87786259541986
2024-02,Money Back,319,265,57417292000,48186701200,83.07210031347962
2024-02,Term Life,586,498,79701698200,68466820600,84.98293515358361
2024-02,ULIP,324,275,67137974700,57046056900,84.87654320987654
2024-02,Whole Life,269,227,62101242600,53076877600,84.38661710037175
2024-03,Endowment,580,487,112164193700,95007951100,83.9655172413793
2024-03,Money Back,322,273,57045383200,48419282400,84.78260869565217
2024-03,Term Life,612,520,82453697100,70095507600,84.9673202614379
2024-03,ULIP,321,267,68441892500,57061054700,83.17757009345794
2024-03,Whole Life,291,243,67172316000,55496788100,83.50515463917526
2024-04,Endowment,562,479,118740117200,101425813100,85.23131672597864
2024-04,Money Back,322,270,62372665200,52412749500,83.85093167701864
2024-04,Term Life,669,587,96049537100,84514919400,87.74289985052317
2024-04,ULIP,290,242,67660797900,56910942700,83.44827586206897
2024-04,Whole Life,265,231,63639156600,55981554200,87.16981132075472
2024-05,Endowment,550,463,114281358200,97193170300,84.18181818181819
2024-05,Money Back,280,239,52231051600,44783126100,85.35714285714285
2024-05,Term Life,621,527,90845706200,77282482400,84.86312399355877
2024-05,ULIP,304,244,71387570300,57784676900,80.26315789473685
2024-05,Whole Life,279,236,70422399900,59886615500,84.58781362007169
2024-06,Endowment,495,422,105010701300,89989033900,85.25252525252526
2024-06,Money Back,302,261,60185339200,51841844100,86.42384105960265
2024-06,Term Life,593,510,85417359000,73852866200,86.00337268128162
2024-06,ULIP,319,280,72483713300,64105332600,87.7742946708464
2024-06,Whole Life,302,263,73340668600,63822836800,87.08609271523179
2024-07,Endowment,608,528,125028602800,109801973900,86.8421052631579
2024-07,Money Back,328,282,62415462300,53731615300,85.97560975609755
2024-07,Term Life,656,571,96103930600,83408144500,87.04268292682927
2024-07,ULIP,333,283,74399536600,63933529300,84.98498498498499
2024-07,Whole Life,244,194,61039532700,48446365800,79.50819672131148
2024-08,Endowment,585,496,121235587700,103865956400,84.78632478632478
2024-08,Money Back,291,247,54837590200,46706876200,84.87972508591065
2024-08,Term Life,637,533,92988685400,77952256300,83.6734693877551
2024-08,ULIP,337,294,77235936400,67013624000,87.24035608308606
2024-08,Whole Life,310,275,78464775800,70075872400,88.70967741935483
2024-09,Endowment,548,466,116121351800,98880779800,85.03649635036497
2024-09,Money Back,303,260,57393455300,49175326300,85.8085808580858
2024-09,Term Life,623,526,90497338300,77303939000,84.43017656500803
2024-09,ULIP,269,238,61671309400,54444435900,88.47583643122677
2024-09,Whole Life,294,243,73477596200,61118008400,82.6530612244898
2024-10,Endowment,539,456,112247479400,95874898800,84.60111317254174
2024-10,Money Back,327,276,63798055800,53781144200,84.40366972477065
2024-10,Term Life,621,537,90349374200,78424060100,86.47342995169082
2024-10,ULIP,347,305,78868001200,69547941800,87.89625360230548
2024-10,Whole Life,289,255,70717908200,62451380400,88.23529411764706
2024-11,Endowment,584,501,122161946100,105487487400,85.78767123287672
2024-11,Money Back,302,237,56708953000,45145683500,78.47682119205298
2024-11,Term Life,637,552,93620208400,81428563400,86.65620094191523
2024-11,ULIP,297,254,68154215500,58446252700,85.52188552188552
2024-11,Whole Life,250,216,61965295700,52983986800,86.4
2024-12,Endowment,587,503,123594424000,106306507600,85.68994889267462
2024-12,Money Back,323,282,62376047000,54928495300,87.30650154798761
2024-12,Term Life,633,532,89612037100,76167918200,84.04423380726699
2024-12,ULIP,302,262,69848443100,61225530100,86.75496688741721
2024-12,Whole Life,292,250,70854444700,60645599400,85.61643835616438
2025-01,Endowment,613,522,127173385700,107836588600,85.15497553017944
2025-01,Money Back,312,264,60454521800,50849008500,84.61538461538461
2025-01,Term Life,661,575,97734278200,85169595000,86.9894099848714
2025-01,ULIP,292,257,66355302300,59381441300,88.01369863013699
2025-01,Whole Life,287,250,71835816400,63024375900,87.10801393728222
2025-02,Endowment,492,419,102689635400,88295857800,85.16260162601627
2025-02,Money Back,283,255,54762549600,48915509400,90.10600706713781
2025-02,Term Life,559,489,81079580700,71382057500,87.47763864042933
2025-02,ULIP,292,249,65361861800,55775304300,85.27397260273972
2025-02,Whole Life,243,212,58939633200,51894075300,87.24279835390946
2025-03,Endowment,564,477,117318172800,100240194700,84.57446808510637
2025-03,Money Back,322,279,61523288800,53369721700,86.64596273291926
2025-03,Term Life,635,556,92826786500,81546435600,87.55905511811024
2025-03,ULIP,327,277,72769960500,61333001200,84.70948012232415
2025-03,Whole Life,269,234,67397459800,58822917400,86.98884758364312
