collection_month,duration_bucket,total_policies,renewed_policies,total_premium,renewed_premium,renewal_rate
2022-10,5-10 Years,736,609,110038106200,90705278900,82.74456521739131
2022-11,11-15 Years,623,529,103063503600,87488106100,84.91171749598716
2022-11,16-20 Years,544,467,95627397000,82500705400,85.84558823529412
2022-11,21-25 Years,197,169,37583981400,32405322700,85.78680203045685
2022-11,5-10 Years,698,600,103212839500,88620286500,85.95988538681948
2022-12,11-15 Years,617,535,99620724800,86980253500,86.709886547812
2022-12,16-20 Years,521,457,92590887600,80708886200,87.71593090211132
2022-12,21-25 Years,218,189,42954710900,37714801700,86.69724770642202
2022-12,5-10 Years,729,628,110250717100,96357860100,86.14540466392319
2023-01,11-15 Years,594,503,95742362600,81326130100,84.68013468013467
2023-01,16-20 Years,538,467,96254219600,83618633900,86.80297397769516
2023-01,21-25 Years,223,195,44482430400,38908483200,87.4439461883408
2023-01,5-10 Years,729,615,109342085800,92384620000,84.36213991769547
2023-02,11-15 Years,566,479,91215127700,77375784800,84.62897526501767
2023-02,16-20 Years,462,409,82483159300,73738874700,88.52813852813853
2023-02,21-25 Years,193,172,36755144700,32216591800,89.11917098445595
2023-02,5-10 Years,674,547,99723034300,81852900600,81.15727002967358
2023-03,11-15 Years,588,493,93004051700,78934619400,83.84353741496598
2023-03,16-20 Years,509,437,89649598700,77333839400,85.85461689587426
2023-03,21-25 Years,223,201,43239496600,38630276900,90.13452914798206
2023-03,5-10 Years,690,591,103714182300,88853529500,85.65217391304348
2023-04,11-15 Years,601,501,106291016000,88342668400,83.36106489184692
2023-04,16-20 Years,486,431,96875067600,86116580600,88.68312757201646
2023-04,21-25 Years,200,168,43219812900,36691946900,84.0
2023-04,5-10 Years,763,630,122934718200,101838051400,82.56880733944955
2023-05,11-15 Years,656,538,117178696500,95788246000,82.01219512195121
2023-05,16-20 Years,494,428,95809736800,82569034700,86.63967611336032
2023-05,21-25 Years,186,155,40398241900,34133757100,83.33333333333334
2023-05,5-10 Years,768,651,123114184800,104907040600,84.765625
2023-06,11-15 Years,597,505,106527512800,89652522600,84.58961474036852
2023-06,16-20 Years,521,455,100370036600,87206323300,87.3320537428023
2023-06,21-25 Years,218,181,47815023200,40442882800,83.02752293577981
2023-06,5-10 Years,739,610,119479642900,99892533900,82.54397834912042
2023-07,11-15 Years,608,514,107364458700,91519611000,84.53947368421053
2023-07,16-20 Years,556,480,108953213300,93868988100,86.33093525179856
2023-07,21-25 Years,218,199,46834778200,42774190400,91.28440366972477
2023-07,5-10 Years,753,643,123114273900,105545344200,85.3917662682603
2023-08,11-15 Years,636,525,112871842300,92650649500,82.54716981132076
2023-08,16-20 Years,499,425,97516361900,83500932300,85.17034068136272
2023-08,21-25 Years,225,196,49008590600,42884360700,87.1111111111111
2023-08,5-10 Years,686,566,112526291400,92482564400,82.5072886297376
2023-09,11-15 Years,616,523,109483574000,93429264200,84.90259740259741
2023-09,16-20 Years,491,435,95154124200,84332428700,88.59470468431772
2023-09,21-25 Years,201,180,42122600300,37887954100,89.55223880597015
2023-09,5-10 Years,745,627,125061812200,105172922400,84.16107382550335
2023-10,11-15 Years,659,548,116314042500,96611438800,83.15629742033383
2023-10,16-20 Years,532,470,102221246100,90805655500,88.34586466165413
2023-10,21-25 Years,193,165,38796030900,33810289200,85.49222797927462
2023-10,5-10 Years,745,631,121128700800,102690055700,84.69798657718121
2023-11,11-15 Years,622,525,108497261400,92599673300,84.40514469453376
2023-11,16-20 Years,547,475,107777414100,93337506000,86.83729433272394
2023-11,21-25 Years,199,178,43633383500,39138365100,89.44723618090453
2023-11,5-10 Years,740,633,120060038400,103320787500,85.54054054054055
2023-12,11-15 Years,660,557,118042932700,100850923700,84.3939393939394
2023-12,16-20 Years,528,457,102150695300,88232441400,86.5530303030303
2023-12,21-25 Years,218,193,44917254900,40073196100,88.53211009174312
2023-12,5-10 Years,695,594,114575536600,98180802700,85.46762589928058
2024-01,11-15 Years,608,524,109024561200,94267094100,86.18421052631578
2024-01,16-20 Years,555,484,108258640100,95837592100,87.2072072072072
2024-01,21-25 Years,188,163,41380360800,36327985500,86.70212765957447
2024-01,5-10 Years,700,590,113780082100,96224738500,84.28571428571429
2024-02,11-15 Years,619,520,110937604500,93948304500,84.00646203554119
2024-02,16-20 Years,489,416,94154314700,81179969200,85.07157464212679
2024-02,21-25 Years,193,164,43798708100,36888092300,84.97409326424871
2024-02,5-10 Years,721,615,118488297600,101653287500,85.29819694868237
2024-03,11-15 Years,614,511,107176852400,89892083500,83.22475570032573
2024-03,16-20 Years,566,467,109464898800,90121830600,82.50883392226149
2024-03,21-25 Years,234,208,51152005400,44547957600,88.88888888888889
2024-03,5-10 Years,712,604,119483725900,101518712200,84.8314606741573
2024-04,11-15 Years,617,526,119920797200,101352563600,85.25121555915722
2024-04,16-20 Years,531,462,111475426900,97470878800,87.00564971751412
2024-04,21-25 Years,195,169,44183702400,38862389400,86.66666666666667
2024-04,5-10 Years,765,652,132882347500,113560147100,85.22875816993464
2024-05,11-15 Years,619,511,119685891500,98913466500,82.55250403877221
2024-05,16-20 Years,506,426,108801698400,92092444800,84.18972332015811
2024-05,21-25 Years,184,169,41758949000,38534199400,91.84782608695652
2024-05,5-10 Years,725,603,128921547300,107389960500,83.17241379310344
2024-06,11-15 Years,593,519,113859043400,99784345200,87.52107925801012
2024-06,16-20 Years,502,436,106899137400,92967538600,86.85258964143426
2024-06,21-25 Years,198,169,47407692600,40938165000,85.35353535353535
2024-06,5-10 Years,718,612,128271908000,109921864800,85.23676880222841
2024-07,11-15 Years,659,561,124656112000,106366657400,85.12898330804249
2024-07,16-20 Years,546,473,115690280100,100776787100,86.63003663003663
2024-07,21-25 Years,216,188,48657644500,41505615800,87.03703703703704
2024-07,5-10 Years,748,636,129983028400,110672568500,85.02673796791443
2024-08,11-15 Years,656,552,126663008300,106673481600,84.14634146341463
2024-08,16-20 Years,526,455,110823264300,96619827200,86.50190114068441
2024-08,21-25 Years,212,191,51163168300,46618297800,90.09433962264151
2024-08,5-10 Years,766,647,136113134600,115702978700,84.46475195822454
2024-09,11-15 Years,601,514,115664035400,99557439500,85.52412645590682
2024-09,16-20 Years,492,425,104202264100,90598880000,86.3821138211382
2024-09,21-25 Years,214,179,50985172300,42174342400,83.64485981308411
2024-09,5-10 Years,730,615,128309579200,108591827500,84.24657534246576
2024-10,11-15 Years,622,536,120036152600,103389670400,86.17363344051448
2024-10,16-20 Years,533,461,111886161700,97106912300,86.49155722326454
2024-10,21-25 Years,219,191,51042072800,45082052700,87.21461187214612
2024-10,5-10 Years,749,641,133016431700,114500789900,85.5807743658211
2024-11,11-15 Years,629,516,121091249100,100406486600,82.0349761526232
2024-11,16-20 Years,530,461,110984449900,96387285100,86.9811320754717
2024-11,21-25 Years,225,196,50722235000,44086847100,87.1111111111111
2024-11,5-10 Years,686,587,119812684700,102611355000,85.56851311953353
2024-12,11-15 Years,653,553,122429557900,104431187900,84.68606431852986
2024-12,16-20 Years,537,482,113393547300,102061835600,89.75791433891993
2024-12,21-25 Years,212,180,48987075800,42001574300,84.90566037735849
2024-12,5-10 Years,735,614,131475214900,110779452800,83.53741496598639
2025-01,11-15 Years,626,541,118704091400,102632174100,86.4217252396166
2025-01,16-20 Years,523,462,110349897000,97293172100,88.33652007648183
2025-01,21-25 Years,214,183,48671881500,42439330100,85.51401869158879
2025-01,5-10 Years,802,682,145827434500,123896333000,85.03740648379052
2025-02,11-15 Years,513,433,100262173900,84705160800,84.40545808966861
2025-02,16-20 Years,489,436,100535478500,90189629600,89.16155419222905
2025-02,21-25 Years,196,174,43674244700,38602123700,88.77551020408163
2025-02,5-10 Years,671,581,118361363600,102765890200,86.58718330849479
2025-03,11-15 Years,646,547,122978488400,104290064900,84.6749226006192
2025-03,16-20 Years,516,452,109674652900,95661656600,87.59689922480621
2025-03,21-25 Years,210,180,49179045400,42634916800,85.71428571428571
2025-03,5-10 Years,745,644,130003481700,112725632300,86.44295302013423
