policy_id,collection_date,insurer,premium_amount,payment_mode,policy_duration,policy_type,customer_age,region,renewal_status,collection_month,premium_outlier_flag,duration_bucket,renewal_flag
POL0016246,2021-04-01,LIC,155796300,Monthly,15,Term Life,62,West,Renewed,2021-04,0,11-15 Years,1
POL0012533,2021-04-01,LIC,144939000,Annual,25,Money Back,32,West,Renewed,2021-04,0,21-25 Years,1
POL0008083,2021-04-01,LIC,148253500,Half-yearly,10,Endowment,28,West,Renewed,2021-04,0,5-10 Years,1
POL0015973,2021-04-01,LIC,203584000,Half-yearly,10,Whole Life,50,Northeast,Renewed,2021-04,0,5-10 Years,1
POL0000649,2021-04-01,LIC,106324400,Quarterly,25,Term Life,40,South,Renewed,2021-04,0,21-25 Years,1
POL0016050,2021-04-01,LIC,231846400,Monthly,15,Whole Life,44,Central,Renewed,2021-04,0,11-15 Years,1
POL0020777,2021-04-01,LIC,92861000,Monthly,5,Endowment,32,Northeast,Renewed,2021-04,0,5-10 Years,1
POL0006356,2021-04-01,Max Life,65201100,Annual,10,Term Life,26,Northeast,Renewed,2021-04,0,5-10 Years,1
POL0006667,2021-04-01,Tata AIA,175804600,Half-yearly,15,Whole Life,41,Northeast,Renewed,2021-04,0,11-15 Years,1
POL0021275,2021-04-01,LIC,161944000,Annual,25,Term Life,51,South,Lapsed,2021-04,0,21-25 Years,0
POL0009685,2021-04-01,LIC,144522800,Annual,10,Endowment,21,West,Renewed,2021-04,0,5-10 Years,1
POL0009634,2021-04-01,LIC,96907900,Quarterly,10,Term Life,35,West,Renewed,2021-04,0,5-10 Years,1
POL0004192,2021-04-01,LIC,126216200,Monthly,20,Money Back,34,South,Renewed,2021-04,0,16-20 Years,1
POL0003276,2021-04-01,Bajaj Allianz,178004700,Quarterly,20,Whole Life,32,South,Renewed,2021-04,0,16-20 Years,1
POL0022268,2021-04-01,Bajaj Allianz,125714000,Annual,15,Term Life,44,North,Renewed,2021-04,0,11-15 Years,1
POL0011153,2021-04-01,Max Life,144861200,Quarterly,15,Money Back,46,East,Renewed,2021-04,0,11-15 Years,1
POL0024347,2021-04-01,Bajaj Allianz,178586400,Monthly,20,Term Life,69,South,Renewed,2021-04,0,16-20 Years,1
POL0005185,2021-04-01,LIC,271544500,Monthly,20,Whole Life,39,East,Renewed,2021-04,0,16-20 Years,1
POL0021505,2021-04-01,LIC,155061300,Annual,10,Endowment,37,West,Renewed,2021-04,0,5-10 Years,1
POL0022319,2021-04-01,Aditya Birla Sun Life,134495300,Quarterly,10,ULIP,40,West,Lapsed,2021-04,0,5-10 Years,0
POL0020392,2021-04-01,Aditya Birla Sun Life,223269800,Monthly,20,Whole Life,44,Northeast,Renewed,2021-04,0,16-20 Years,1
POL0001165,2021-04-01,Tata AIA,125774300,Annual,25,Endowment,39,Central,Renewed,2021-04,0,21-25 Years,1
POL0019920,2021-04-01,LIC,136552300,Half-yearly,10,Endowment,32,West,Renewed,2021-04,0,5-10 Years,1
POL0006605,2021-04-01,LIC,81648500,Quarterly,10,Term Life,27,North,Renewed,2021-04,0,5-10 Years,1
POL0023454,2021-04-01,HDFC Life,138724200,Quarterly,15,Endowment,32,South,Renewed,2021-04,0,11-15 Years,1
POL0017600,2021-04-01,LIC,199639200,Monthly,25,ULIP,23,East,Lapsed,2021-04,0,21-25 Years,0
POL0000992,2021-04-01,LIC,144221900,Quarterly,15,Money Back,42,East,Renewed,2021-04,0,11-15 Years,1
POL0014650,2021-04-01,LIC,191547100,Monthly,25,Money Back,32,South,Renewed,2021-04,0,21-25 Years,1
POL0000756,2021-04-01,Aditya Birla Sun Life,143485700,Monthly,10,Endowment,54,East,Renewed,2021-04,0,5-10 Years,1
POL0006553,2021-04-01,LIC,154022200,Quarterly,25,Term Life,55,Central,Renewed,2021-04,0,21-25 Years,1
POL0000849,2021-04-01,LIC,220170200,Annual,20,Endowment,48,South,Renewed,2021-04,0,16-20 Years,1
POL0006184,2021-04-01,LIC,96409900,Quarterly,15,Whole Life,18,Central,Renewed,2021-04,0,11-15 Years,1
POL0011450,2021-04-01,Max Life,203094300,Monthly,5,Whole Life,42,South,Renewed,2021-04,0,5-10 Years,1
POL0003072,2021-04-01,LIC,177422900,Annual,25,Endowment,22,South,Renewed,2021-04,0,21-25 Years,1
POL0011670,2021-04-01,LIC,101944600,Annual,10,Term Life,36,Northeast,Renewed,2021-04,0,5-10 Years,1
POL0000447,2021-04-01,Max Life,187155900,Monthly,15,Whole Life,44,Central,Renewed,2021-04,0,11-15 Years,1
POL0006024,2021-04-01,HDFC Life,161581200,Monthly,15,ULIP,42,East,Renewed,2021-04,0,11-15 Years,1
POL0012311,2021-04-01,Aditya Birla Sun Life,183406600,Monthly,20,Term Life,56,Central,Renewed,2021-04,0,16-20 Years,1
POL0010588,2021-04-01,Bajaj Allianz,179257900,Quarterly,5,Whole Life,49,West,Lapsed,2021-04,0,5-10 Years,0
POL0016610,2021-04-01,Aditya Birla Sun Life,102053400,Monthly,5,ULIP,30,Central,Renewed,2021-04,0,5-10 Years,1
POL0002071,2021-04-01,LIC,135584100,Annual,20,Term Life,30,West,Renewed,2021-04,0,16-20 Years,1
POL0018005,2021-04-01,ICICI Prudential,119179700,Annual,10,Endowment,39,Northeast,Renewed,2021-04,0,5-10 Years,1
POL0013276,2021-04-01,Aditya Birla Sun Life,116200800,Monthly,10,Endowment,36,West,Renewed,2021-04,0,5-10 Years,1
POL0003581,2021-04-01,LIC,141812600,Monthly,15,Whole Life,44,East,Renewed,2021-04,0,11-15 Years,1
POL0014572,2021-04-02,Max Life,159318900,Quarterly,25,ULIP,22,East,Renewed,2021-04,0,21-25 Years,1
POL0003153,2021-04-02,ICICI Prudential,115213000,Annual,15,Term Life,53,North,Renewed,2021-04,0,11-15 Years,1
POL0002174,2021-04-02,LIC,131898600,Annual,10,Term Life,42,North,Lapsed,2021-04,0,5-10 Years,0
POL0012462,2021-04-02,LIC,214891100,Annual,10,Whole Life,35,North,Renewed,2021-04,0,5-10 Years,1
POL0019409,2021-04-02,LIC,118731400,Annual,20,Term Life,25,Central,Renewed,2021-04,0,16-20 Years,1
POL0017576,2021-04-02,LIC,171134700,Quarterly,15,Whole Life,47,North,Lapsed,2021-04,0,11-15 Years,0
POL0023187,2021-04-02,Aditya Birla Sun Life,159687300,Monthly,20,Endowment,41,North,Renewed,2021-04,0,16-20 Years,1
POL0009294,2021-04-02,LIC,161579100,Half-yearly,15,Endowment,44,Central,Renewed,2021-04,0,11-15 Years,1
POL0020671,2021-04-02,LIC,158171500,Annual,10,Term Life,40,South,Renewed,2021-04,0,5-10 Years,1
POL0012201,2021-04-02,SBI Life,100556200,Half-yearly,20,Term Life,47,South,Lapsed,2021-04,0,16-20 Years,0
POL0003331,2021-04-02,Tata AIA,118948100,Monthly,5,Whole Life,40,East,Renewed,2021-04,0,5-10 Years,1
POL0010494,2021-04-02,Max Life,199464200,Quarterly,15,Money Back,46,South,Renewed,2021-04,0,11-15 Years,1
POL0000207,2021-04-02,LIC,154164000,Half-yearly,20,Term Life,46,South,Renewed,2021-04,0,16-20 Years,1
POL0016436,2021-04-02,LIC,96129400,Annual,10,ULIP,42,South,Renewed,2021-04,0,5-10 Years,1
POL0018651,2021-04-02,LIC,129683300,Annual,25,Money Back,26,West,Renewed,2021-04,0,21-25 Years,1
POL0001949,2021-04-02,LIC,144560200,Monthly,10,Endowment,56,North,Renewed,2021-04,0,5-10 Years,1
POL0007014,2021-04-02,LIC,139928600,Quarterly,10,ULIP,55,North,Lapsed,2021-04,0,5-10 Years,0
POL0021171,2021-04-02,HDFC Life,139663000,Annual,15,Term Life,44,South,Renewed,2021-04,0,11-15 Years,1
POL0006794,2021-04-02,LIC,150287300,Annual,15,Endowment,33,West,Renewed,2021-04,0,11-15 Years,1
POL0007134,2021-04-02,LIC,145360900,Half-yearly,15,Term Life,65,South,Renewed,2021-04,0,11-15 Years,1
POL0012979,2021-04-02,Aditya Birla Sun Life,125580300,Monthly,15,Money Back,18,South,Renewed,2021-04,0,11-15 Years,1
POL0019500,2021-04-02,LIC,150347300,Annual,20,Money Back,40,North,Renewed,2021-04,0,16-20 Years,1
POL0004759,2021-04-02,LIC,152313800,Monthly,20,Money Back,57,North,Renewed,2021-04,0,16-20 Years,1
POL0007835,2021-04-02,LIC,84085100,Monthly,10,ULIP,31,West,Renewed,2021-04,0,5-10 Years,1
POL0002911,2021-04-02,LIC,134366900,Monthly,20,Money Back,44,East,Lapsed,2021-04,0,16-20 Years,0
POL0000064,2021-04-02,HDFC Life,233318000,Monthly,20,ULIP,64,West,Renewed,2021-04,0,16-20 Years,1
POL0008075,2021-04-02,LIC,105971900,Quarterly,20,Term Life,38,West,Renewed,2021-04,0,16-20 Years,1
POL0023185,2021-04-02,LIC,141348600,Quarterly,15,Money Back,36,West,Lapsed,2021-04,0,11-15 Years,0
POL0011366,2021-04-02,LIC,147933100,Annual,10,Endowment,35,Northeast,Renewed,2021-04,0,5-10 Years,1
POL0010396,2021-04-02,LIC,165854200,Quarterly,20,Term Life,49,South,Renewed,2021-04,0,16-20 Years,1
POL0023139,2021-04-02,Bajaj Allianz,142247200,Monthly,5,Money Back,52,Central,Renewed,2021-04,0,5-10 Years,1
POL0008485,2021-04-02,LIC,202496200,Annual,15,Whole Life,28,East,Lapsed,2021-04,0,11-15 Years,0
POL0008020,2021-04-02,HDFC Life,172484800,Annual,20,Term Life,56,South,Renewed,2021-04,0,16-20 Years,1
POL0010314,2021-04-02,LIC,171939500,Monthly,20,ULIP,42,North,Renewed,2021-04,0,16-20 Years,1
POL0011385,2021-04-02,LIC,125735100,Quarterly,15,Money Back,39,East,Renewed,2021-04,0,11-15 Years,1
POL0015575,2021-04-02,LIC,143777000,Monthly,20,Money Back,64,Central,Renewed,2021-04,0,16-20 Years,1
POL0019096,2021-04-02,LIC,100198600,Monthly,5,ULIP,47,Northeast,Renewed,2021-04,0,5-10 Years,1
POL0022271,2021-04-02,Tata AIA,58980300,Quarterly,20,Term Life,44,South,Renewed,2021-04,0,16-20 Years,1
POL0014423,2021-04-02,LIC,142299000,Quarterly,25,Term Life,42,Central,Renewed,2021-04,0,21-25 Years,1
POL0013581,2021-04-02,HDFC Life,264177000,Quarterly,25,Endowment,49,East,Renewed,2021-04,0,21-25 Years,1
POL0018500,2021-04-02,SBI Life,102939300,Monthly,20,Endowment,20,Northeast,Renewed,2021-04,0,16-20 Years,1
POL0016114,2021-04-02,LIC,186444100,Monthly,15,Whole Life,40,South,Renewed,2021-04,0,11-15 Years,1
POL0008140,2021-04-02,HDFC Life,101874300,Monthly,10,Term Life,37,Central,Renewed,2021-04,0,5-10 Years,1
POL0009433,2021-04-02,SBI Life,148151700,Annual,20,Term Life,40,North,Renewed,2021-04,0,16-20 Years,1
POL0021503,2021-04-02,LIC,160104000,Half-yearly,15,Endowment,45,North,Renewed,2021-04,0,11-15 Years,1
POL0001290,2021-04-02,LIC,268846200,Annual,25,ULIP,49,East,Renewed,2021-04,0,21-25 Years,1
POL0004324,2021-04-02,LIC,77602200,Monthly,5,Money Back,39,West,Lapsed,2021-04,0,5-10 Years,0
POL0004250,2021-04-02,LIC,97092000,Monthly,20,Term Life,51,North,Renewed,2021-04,0,16-20 Years,1
POL0022553,2021-04-02,LIC,134787700,Monthly,20,Money Back,33,East,Renewed,2021-04,0,16-20 Years,1
POL0005155,2021-04-02,LIC,168751800,Annual,10,Money Back,37,North,Renewed,2021-04,0,5-10 Years,1
POL0019085,2021-04-02,Aditya Birla Sun Life,94282100,Monthly,15,Term Life,44,North,Renewed,2021-04,0,11-15 Years,1
POL0008132,2021-04-02,LIC,92776000,Annual,15,Money Back,29,Northeast,Renewed,2021-04,0,11-15 Years,1
POL0005357,2021-04-02,LIC,128250600,Monthly,20,Term Life,23,West,Renewed,2021-04,0,16-20 Years,1
POL0001824,2021-04-02,LIC,151048300,Quarterly,15,Whole Life,31,South,Lapsed,2021-04,0,11-15 Years,0
POL0017632,2021-04-02,LIC,131226300,Monthly,10,Term Life,57,North,Renewed,2021-04,0,5-10 Years,1
POL0000264,2021-04-02,Bajaj Allianz,207676300,Annual,20,ULIP,33,North,Renewed,2021-04,0,16-20 Years,1
POL0021092,2021-04-02,Tata AIA,157497600,Monthly,25,Endowment,61,North,Lapsed,2021-04,0,21-25 Years,0
POL0024697,2021-04-02,LIC,196244500,Monthly,15,Endowment,47,Central,Renewed,2021-04,0,11-15 Years,1
POL0018682,2021-04-02,LIC,219622900,Annual,15,Whole Life,34,North,Renewed,2021-04,0,11-15 Years,1
POL0021102,2021-04-02,LIC,150122300,Quarterly,15,Endowment,43,Central,Lapsed,2021-04,0,11-15 Years,0
POL0006570,2021-04-03,SBI Life,199836400,Quarterly,15,Whole Life,40,North,Renewed,2021-04,0,11-15 Years,1
POL0022351,2021-04-03,LIC,124370800,Monthly,15,Whole Life,40,North,Renewed,2021-04,0,11-15 Years,1
POL0004846,2021-04-03,Tata AIA,196297400,Annual,15,Term Life,60,Northeast,Renewed,2021-04,0,11-15 Years,1
POL0023184,2021-04-03,LIC,135968500,Quarterly,10,Money Back,59,East,Renewed,2021-04,0,5-10 Years,1
POL0021180,2021-04-03,LIC,92985900,Monthly,10,Term Life,41,East,Renewed,2021-04,0,5-10 Years,1
POL0001578,2021-04-03,LIC,162111400,Monthly,10,Endowment,36,Central,Renewed,2021-04,0,5-10 Years,1
POL0024964,2021-04-03,LIC,90779900,Half-yearly,15,Term Life,26,Northeast,Renewed,2021-04,0,11-15 Years,1
POL0024986,2021-04-03,Aditya Birla Sun Life,79328700,Half-yearly,10,Term Life,29,North,Lapsed,2021-04,0,5-10 Years,0
POL0009869,2021-04-03,ICICI Prudential,172169000,Annual,10,ULIP,42,North,Renewed,2021-04,0,5-10 Years,1
POL0007870,2021-04-03,ICICI Prudential,259238300,Quarterly,10,Endowment,75,North,Lapsed,2021-04,0,5-10 Years,0
POL0003770,2021-04-03,LIC,233262200,Quarterly,25,Money Back,48,East,Renewed,2021-04,0,21-25 Years,1
POL0011209,2021-04-03,LIC,158344200,Monthly,15,Endowment,50,South,Renewed,2021-04,0,11-15 Years,1
POL0014957,2021-04-03,SBI Life,181709100,Quarterly,10,Whole Life,32,Northeast,Renewed,2021-04,0,5-10 Years,1
POL0008257,2021-04-03,SBI Life,148448900,Annual,10,Term Life,47,Central,Renewed,2021-04,0,5-10 Years,1
POL0018397,2021-04-03,HDFC Life,129969100,Annual,15,Term Life,38,West,Lapsed,2021-04,0,11-15 Years,0
POL0003931,2021-04-03,SBI Life,86906200,Annual,15,Term Life,69,South,Renewed,2021-04,0,11-15 Years,1
POL0018212,2021-04-03,SBI Life,82928600,Monthly,5,Term Life,32,West,Lapsed,2021-04,0,5-10 Years,0
POL0020540,2021-04-03,LIC,73678700,Monthly,20,Term Life,32,South,Renewed,2021-04,0,16-20 Years,1
POL0022552,2021-04-03,LIC,133017500,Monthly,15,Term Life,43,Northeast,Renewed,2021-04,0,11-15 Years,1
POL0013158,2021-04-03,LIC,194679100,Quarterly,10,ULIP,30,West,Renewed,2021-04,0,5-10 Years,1
POL0024663,2021-04-03,LIC,54972900,Monthly,15,Term Life,37,East,Renewed,2021-04,0,11-15 Years,1
POL0019852,2021-04-03,SBI Life,135100300,Quarterly,20,Endowment,56,South,Renewed,2021-04,0,16-20 Years,1
POL0001519,2021-04-03,LIC,143046600,Monthly,15,Endowment,38,North,Renewed,2021-04,0,11-15 Years,1
POL0004132,2021-04-03,LIC,182278600,Annual,10,Endowment,32,North,Renewed,2021-04,0,5-10 Years,1
POL0002678,2021-04-03,Bajaj Allianz,198190500,Annual,15,ULIP,41,Northeast,Renewed,2021-04,0,11-15 Years,1
POL0017429,2021-04-03,SBI Life,132598500,Monthly,15,Endowment,41,West,Renewed,2021-04,0,11-15 Years,1
POL0007688,2021-04-03,LIC,223068100,Monthly,25,ULIP,47,West,Renewed,2021-04,0,21-25 Years,1
POL0017216,2021-04-03,SBI Life,185834400,Annual,25,Term Life,47,North,Renewed,2021-04,0,21-25 Years,1
POL0002125,2021-04-03,ICICI Prudential,183097000,Half-yearly,10,Whole Life,52,North,Lapsed,2021-04,0,5-10 Years,0
POL0024236,2021-04-03,LIC,191240800,Annual,10,Money Back,51,East,Renewed,2021-04,0,5-10 Years,1
POL0024298,2021-04-03,Aditya Birla Sun Life,146196700,Monthly,15,Whole Life,41,North,Renewed,2021-04,0,11-15 Years,1
POL0004206,2021-04-03,LIC,157218200,Quarterly,20,Whole Life,28,North,Renewed,2021-04,0,16-20 Years,1
POL0015452,2021-04-03,LIC,115005500,Quarterly,15,Term Life,44,East,Renewed,2021-04,0,11-15 Years,1
POL0004490,2021-04-03,Tata AIA,144260900,Half-yearly,10,ULIP,36,South,Lapsed,2021-04,0,5-10 Years,0
POL0019770,2021-04-03,HDFC Life,200702400,Monthly,5,ULIP,55,Central,Lapsed,2021-04,0,5-10 Years,0
POL0000896,2021-04-03,HDFC Life,212608100,Annual,15,Whole Life,44,West,Renewed,2021-04,0,11-15 Years,1
POL0011093,2021-04-03,Aditya Birla Sun Life,176570800,Annual,20,Endowment,47,North,Renewed,2021-04,0,16-20 Years,1
POL0013809,2021-04-03,LIC,185670000,Monthly,5,Whole Life,65,North,Renewed,2021-04,0,5-10 Years,1
POL0013862,2021-04-03,LIC,131376800,Monthly,20,Endowment,41,East,Renewed,2021-04,0,16-20 Years,1
POL0006846,2021-04-03,Tata AIA,127029700,Quarterly,25,Endowment,47,South,Lapsed,2021-04,0,21-25 Years,0
POL0013798,2021-04-03,LIC,117522300,Quarterly,5,Endowment,35,Central,Renewed,2021-04,0,5-10 Years,1
POL0013083,2021-04-03,Max Life,88995300,Monthly,20,Money Back,45,North,Renewed,2021-04,0,16-20 Years,1
POL0013087,2021-04-03,LIC,188742900,Monthly,10,ULIP,61,West,Lapsed,2021-04,0,5-10 Years,0
POL0022836,2021-04-03,Bajaj Allianz,89389600,Quarterly,15,Term Life,29,Central,Renewed,2021-04,0,11-15 Years,1
POL0022231,2021-04-03,LIC,134616600,Monthly,20,Endowment,48,West,Renewed,2021-04,0,16-20 Years,1
POL0024181,2021-04-03,LIC,120762000,Quarterly,15,Money Back,35,West,Renewed,2021-04,0,11-15 Years,1
POL0023675,2021-04-03,LIC,152072900,Quarterly,20,Money Back,40,North,Renewed,2021-04,0,16-20 Years,1
POL0008223,2021-04-03,LIC,126186500,Monthly,15,Money Back,45,East,Renewed,2021-04,0,11-15 Years,1
POL0018118,2021-04-03,HDFC Life,139124400,Annual,15,Whole Life,27,West,Renewed,2021-04,0,11-15 Years,1
POL0017065,2021-04-03,LIC,143444000,Monthly,15,Endowment,40,South,Renewed,2021-04,0,11-15 Years,1
POL0005525,2021-04-03,SBI Life,59129700,Quarterly,10,Term Life,51,Central,Renewed,2021-04,0,5-10 Years,1
POL0012636,2021-04-03,LIC,194177900,Annual,5,ULIP,41,South,Renewed,2021-04,0,5-10 Years,1
POL0013425,2021-04-03,SBI Life,302636300,Annual,20,Endowment,65,West,Renewed,2021-04,0,16-20 Years,1
POL0024405,2021-04-03,LIC,83125100,Monthly,10,Term Life,57,Northeast,Lapsed,2021-04,0,5-10 Years,0
POL0009796,2021-04-03,LIC,132365900,Annual,10,Endowment,18,West,Renewed,2021-04,0,5-10 Years,1
POL0002322,2021-04-03,Aditya Birla Sun Life,104301700,Monthly,15,Term Life,47,West,Renewed,2021-04,0,11-15 Years,1
POL0002732,2021-04-03,Tata AIA,183689400,Half-yearly,10,Whole Life,54,West,Renewed,2021-04,0,5-10 Years,1
POL0002658,2021-04-03,SBI Life,159492300,Annual,20,Endowment,36,West,Renewed,2021-04,0,16-20 Years,1
POL0018505,2021-04-03,LIC,133745400,Annual,5,Endowment,35,South,Renewed,2021-04,0,5-10 Years,1
POL0001865,2021-04-03,LIC,51728600,Quarterly,10,Term Life,25,South,Renewed,2021-04,0,5-10 Years,1
POL0024808,2021-04-03,ICICI Prudential,126871800,Quarterly,10,Money Back,46,South,Renewed,2021-04,0,5-10 Years,1
POL0020305,2021-04-03,Tata AIA,146729600,Monthly,20,Endowment,60,West,Lapsed,2021-04,0,16-20 Years,0
POL0004688,2021-04-03,LIC,127775100,Half-yearly,15,Money Back,32,Central,Renewed,2021-04,0,11-15 Years,1
POL0017973,2021-04-03,LIC,147222900,Monthly,15,Money Back,38,North,Renewed,2021-04,0,11-15 Years,1
POL0007366,2021-04-04,Max Life,116254900,Monthly,15,Endowment,34,South,Renewed,2021-04,0,11-15 Years,1
POL0007113,2021-04-04,LIC,151851800,Annual,15,Money Back,33,North,Renewed,2021-04,0,11-15 Years,1
POL0003078,2021-04-04,LIC,151176900,Annual,15,ULIP,34,South,Renewed,2021-04,0,11-15 Years,1
POL0006392,2021-04-04,Bajaj Allianz,178843500,Quarterly,25,Money Back,39,Central,Renewed,2021-04,0,21-25 Years,1
POL0020775,2021-04-04,LIC,187687000,Quarterly,20,Endowment,55,South,Lapsed,2021-04,0,16-20 Years,0
POL0007715,2021-04-04,LIC,232676300,Quarterly,20,Whole Life,50,Northeast,Renewed,2021-04,0,16-20 Years,1
POL0018995,2021-04-04,LIC,111334500,Quarterly,20,Term Life,37,East,Lapsed,2021-04,0,16-20 Years,0
POL0004105,2021-04-04,LIC,159228700,Monthly,15,ULIP,68,South,Renewed,2021-04,0,11-15 Years,1
POL0000326,2021-04-04,ICICI Prudential,121241300,Annual,20,Term Life,43,East,Renewed,2021-04,0,16-20 Years,1
POL0022066,2021-04-04,LIC,81781400,Half-yearly,5,Endowment,29,South,Lapsed,2021-04,0,5-10 Years,0
POL0001912,2021-04-04,Bajaj Allianz,107966900,Monthly,20,Money Back,41,West,Renewed,2021-04,0,16-20 Years,1
POL0017974,2021-04-04,LIC,204417000,Quarterly,15,Endowment,41,West,Renewed,2021-04,0,11-15 Years,1
POL0019007,2021-04-04,LIC,93810300,Monthly,20,Term Life,27,Central,Lapsed,2021-04,0,16-20 Years,0
POL0021329,2021-04-04,LIC,152581700,Monthly,20,Money Back,51,South,Renewed,2021-04,0,16-20 Years,1
POL0022344,2021-04-04,HDFC Life,209846700,Annual,20,Endowment,41,North,Renewed,2021-04,0,16-20 Years,1
POL0009813,2021-04-04,LIC,176849400,Quarterly,20,Endowment,34,East,Renewed,2021-04,0,16-20 Years,1
POL0023078,2021-04-04,LIC,150495400,Annual,20,Term Life,39,North,Renewed,2021-04,0,16-20 Years,1
POL0009828,2021-04-04,Aditya Birla Sun Life,128909100,Annual,10,Endowment,53,North,Renewed,2021-04,0,5-10 Years,1
POL0005014,2021-04-04,SBI Life,187746300,Monthly,25,Whole Life,59,East,Renewed,2021-04,0,21-25 Years,1
POL0017491,2021-04-04,LIC,60465000,Monthly,20,Term Life,20,Northeast,Renewed,2021-04,0,16-20 Years,1
POL0003867,2021-04-04,LIC,169719900,Annual,15,Term Life,28,West,Renewed,2021-04,0,11-15 Years,1
POL0017474,2021-04-04,LIC,139836600,Quarterly,5,Endowment,36,West,Renewed,2021-04,0,5-10 Years,1
POL0008554,2021-04-04,Aditya Birla Sun Life,131643600,Annual,20,Term Life,30,West,Renewed,2021-04,0,16-20 Years,1
POL0017115,2021-04-04,LIC,109618200,Monthly,5,Endowment,38,West,Renewed,2021-04,0,5-10 Years,1
POL0014317,2021-04-04,LIC,170518500,Monthly,20,Endowment,41,West,Renewed,2021-04,0,16-20 Years,1
POL0001329,2021-04-04,LIC,275442600,Annual,20,Money Back,49,East,Renewed,2021-04,0,16-20 Years,1
POL0021831,2021-04-04,LIC,110968700,Half-yearly,10,Term Life,24,East,Renewed,2021-04,0,5-10 Years,1
POL0020250,2021-04-04,LIC,108558800,Quarterly,15,Term Life,38,South,Renewed,2021-04,0,11-15 Years,1
POL0022718,2021-04-04,Bajaj Allianz,147689900,Quarterly,15,Term Life,55,East,Lapsed,2021-04,0,11-15 Years,0
POL0015433,2021-04-04,Tata AIA,199099300,Monthly,20,Endowment,63,South,Renewed,2021-04,0,16-20 Years,1
POL0017404,2021-04-04,Tata AIA,76545400,Monthly,10,Term Life,24,Northeast,Renewed,2021-04,0,5-10 Years,1
POL0022752,2021-04-04,LIC,228220200,Quarterly,15,Money Back,69,West,Renewed,2021-04,0,11-15 Years,1
POL0006027,2021-04-04,LIC,99168400,Monthly,15,Term Life,48,West,Renewed,2021-04,0,11-15 Years,1
POL0016558,2021-04-04,Tata AIA,125711400,Monthly,10,Endowment,37,South,Renewed,2021-04,0,5-10 Years,1
