collection_month,region,total_policies,renewed_policies,total_premium,renewed_premium,renewal_rate
2022-03,South,435,376,65250551200,56367179100,86.4367816091954
2022-03,West,452,382,69226051200,58285875300,84.51327433628319
2022-04,Central,252,211,40647691200,34206818300,83.73015873015873
2022-04,East,333,281,55043139900,46788663300,84.38438438438438
2022-04,North,409,336,66210237500,54966477400,82.15158924205379
2022-04,Northeast,190,153,29977328700,24677013900,80.52631578947368
2022-04,South,486,414,82293286700,70338579800,85.18518518518519
2022-04,West,419,351,68758640100,57512122600,83.7708830548926
2022-05,Central,229,196,37405379000,32193418000,85.58951965065502
2022-05,East,384,338,62504926100,55400375100,88.02083333333334
2022-05,North,476,412,78498256800,68032752600,86.5546218487395
2022-05,Northeast,188,162,30836770000,26478860800,86.17021276595744
2022-05,South,461,393,75767003300,64767880400,85.24945770065075
2022-05,West,485,428,78101939200,69346624200,88.24742268041237
2022-06,Central,246,217,41195959300,36449429200,88.21138211382113
2022-06,East,334,290,54722459400,47746048200,86.82634730538922
2022-06,North,418,358,68733396300,58482814900,85.64593301435407
2022-06,Northeast,164,142,24817396600,21577511600,86.58536585365853
2022-06,South,413,355,67024129800,58246581600,85.95641646489103
2022-06,West,493,426,81241114900,70296890500,86.40973630831643
2022-07,Central,235,210,39743993800,35641918700,89.36170212765957
2022-07,East,338,288,53691596500,45511874000,85.20710059171599
2022-07,North,401,345,66611443500,57487439000,86.0349127182045
2022-07,Northeast,180,156,30462022600,26393493600,86.66666666666667
2022-07,South,504,426,83018340600,70373068200,84.52380952380952
2022-07,West,437,380,71043634600,62244936800,86.95652173913044
2022-08,Central,277,227,45608098200,37252146500,81.94945848375451
2022-08,East,350,295,55957500000,47465137100,84.28571428571429
2022-08,North,409,352,67664092500,58974762800,86.06356968215158
2022-08,Northeast,182,153,30366826100,25388806100,84.06593406593407
2022-08,South,478,421,77281744200,68319741800,88.07531380753139
2022-08,West,501,440,81548732600,71772553900,87.82435129740519
2022-09,Central,258,220,42493680800,36691644000,85.27131782945736
2022-09,East,342,293,58399993000,50873735600,85.67251461988305
2022-09,North,428,366,72526366300,61765557800,85.51401869158879
2022-09,Northeast,171,145,28924547600,24496950700,84.7953216374269
2022-09,South,482,412,79283157100,67599973200,85.47717842323651
2022-09,West,459,369,76432165200,61004854700,80.3921568627451
2022-10,Central,242,198,39814603200,32135810500,81.81818181818183
2022-10,East,317,265,49242000500,41515568800,83.59621451104101
2022-10,North,412,345,66901224000,56259368200,83.7378640776699
2022-10,Northeast,167,127,28102964000,21679357700,76.04790419161677
2022-10,South,457,382,77080132900,64839817300,83.58862144420132
2022-10,West,457,398,76293929800,67093938900,87.08971553610503
2022-11,Central,238,205,39638728600,34091750200,86.1344537815126
2022-11,East,317,277,54034862600,47051062100,87.38170347003155
2022-11,North,406,345,66030905900,55832852100,84.97536945812809
2022-11,Northeast,144,117,23563044900,19249008100,81.25
2022-11,South,457,388,75410918000,64931868000,84.9015317286652
2022-11,West,500,433,80809261500,69857880200,86.6
2022-12,Central,261,216,43632713600,36399112400,82.75862068965517
2022-12,East,339,287,55009402900,47254675400,84.66076696165192
2022-12,North,415,360,68647019600,59705492000,86.74698795180723
2022-12,Northeast,148,126,25047927600,21495913600,85.13513513513513
2022-12,South,460,412,76478047600,68524946400,89.56521739130436
2022-12,West,462,408,76601929100,68381661700,88.31168831168831
2023-01,Central,275,234,45611217200,38953518800,85.0909090909091
2023-01,East,331,293,53282978700,47559957800,88.51963746223565
2023-01,North,439,377,74271477100,63573469300,85.87699316628702
2023-01,Northeast,155,130,26564384000,22397462600,83.87096774193549
2023-01,South,423,355,71601831300,60215219200,83.92434988179669
2023-01,West,461,391,74489210100,63538239500,84.81561822125813
2023-02,Central,231,184,36765053300,29446245500,79.65367965367966
2023-02,East,293,252,48617822200,41880506600,86.00682593856655
2023-02,North,367,320,61314583200,53565666300,87.19346049046321
2023-02,Northeast,159,135,26079556500,22413673800,84.90566037735849
2023-02,South,435,370,71705727400,61547309800,85.0574712643678
2023-02,West,410,346,65693723400,56330749900,84.39024390243902
2023-03,Central,238,197,38026208800,32142750300,82.77310924369748
2023-03,East,332,285,53992141300,46711816600,85.8433734939759
2023-03,North,394,344,65013659300,57024161200,87.30964467005076
2023-03,Northeast,180,156,31500388500,27463388500,86.66666666666667
2023-03,South,445,378,73119925300,61914629100,84.9438202247191
2023-03,West,421,362,67955006100,58495519500,85.98574821852732
2023-04,Central,240,194,44765274700,35899153900,80.83333333333333
2023-04,East,339,281,58220990300,48289121400,82.89085545722715
2023-04,North,399,327,72230355700,59860021900,81.95488721804512
2023-04,Northeast,150,127,27198750000,23387330700,84.66666666666667
2023-04,South,468,410,85410572700,75681430400,87.6068376068376
2023-04,West,454,391,81494671300,69872189000,86.12334801762115
2023-05,Central,274,229,47939662800,40187122300,83.57664233576642
2023-05,East,314,268,56144116300,47456322700,85.35031847133759
2023-05,North,418,346,74544919100,62143767400,82.77511961722487
2023-05,Northeast,182,155,32505860900,27695471500,85.16483516483517
2023-05,South,479,401,84536111100,71134210300,83.7160751565762
2023-05,West,437,373,80830189800,68781184200,85.35469107551488
2023-06,Central,249,202,43771837900,36431164700,81.12449799196787
2023-06,East,325,280,58178107700,50510451100,86.15384615384616
2023-06,North,437,374,79466548700,68167216200,85.58352402745996
2023-06,Northeast,170,147,30215293500,25868691900,86.47058823529412
2023-06,South,461,388,82709554900,69951048900,84.1648590021692
2023-06,West,433,360,79850872800,66265689800,83.14087759815243
2023-07,Central,268,227,48524026200,41512992000,84.70149253731343
2023-07,East,358,311,64351183700,55725763300,86.87150837988827
2023-07,North,420,356,75828937400,64719413800,84.76190476190476
2023-07,Northeast,167,140,30764769000,25934349700,83.8323353293413
2023-07,South,452,387,82751931500,71247681000,85.61946902654867
2023-07,West,470,415,84045876300,74567933900,88.29787234042553
2023-08,Central,257,219,49890899200,42334561300,85.21400778210116
2023-08,East,345,281,61166042900,49457368900,81.44927536231884
2023-08,North,387,331,70153123800,59989007100,85.52971576227391
2023-08,Northeast,163,136,28305208200,23750619100,83.43558282208589
2023-08,South,456,378,83126525300,68882326300,82.89473684210526
2023-08,West,438,367,79281286800,67104624200,83.78995433789954
2023-09,Central,248,212,45345706100,38968421900,85.48387096774194
2023-09,East,324,276,57719757700,48750446300,85.18518518518519
2023-09,North,424,358,77369433700,66004700500,84.43396226415094
2023-09,Northeast,174,158,31121253300,28304399100,90.80459770114942
2023-09,South,420,355,75024830900,63646378800,84.52380952380952
2023-09,West,463,406,85241129000,75148222800,87.6889848812095
2023-10,Central,278,244,48009105700,42402985600,87.76978417266187
2023-10,East,342,300,62876098900,54642647400,87.71929824561403
2023-10,North,428,371,76354834800,66190306400,86.6822429906542
2023-10,Northeast,146,121,25354430300,21215030600,82.87671232876713
2023-10,South,467,388,82614747800,69832366100,83.08351177730194
2023-10,West,468,390,83250802800,69634103100,83.33333333333334
2023-11,Central,236,204,41223185200,35641549100,86.4406779661017
2023-11,East,314,274,56226671800,49049431400,87.26114649681529
2023-11,North,413,350,75607777100,65205566200,84.7457627118644
2023-11,Northeast,178,156,33447951000,29511307700,87.64044943820225
2023-11,South,464,396,83271647000,71291211600,85.34482758620689
2023-11,West,503,431,90190865300,77697265900,85.6858846918489
2023-12,Central,262,217,47338258700,40075741800,82.82442748091603
2023-12,East,345,308,63631418000,56810337100,89.27536231884058
2023-12,North,396,341,72556433400,62390763100,86.11111111111111
2023-12,Northeast,161,135,28070497700,23198335900,83.85093167701864
2023-12,South,454,382,82115888200,69899653000,84.14096916299559
2023-12,West,483,418,85973923500,74962533000,86.5424430641822
2024-01,Central,267,231,48350396600,42818552800,86.51685393258427
2024-01,East,303,260,54223288900,47355481600,85.8085808580858
2024-01,North,408,352,74064397700,63581708100,86.27450980392157
2024-01,Northeast,175,158,31542175000,28851440400,90.28571428571428
2024-01,South,447,373,80387711200,67521612200,83.44519015659955
2024-01,West,451,387,83875674800,72528615100,85.80931263858092
2024-02,Central,239,202,42167809800,35620388300,84.51882845188284
2024-02,East,320,264,58806540900,49124136800,82.5
2024-02,North,370,317,67736948000,58032859800,85.67567567567568
2024-02,Northeast,172,153,30537490000,27190237300,88.95348837209302
2024-02,South,445,380,82711547400,71679911300,85.39325842696628
2024-02,West,476,399,85418588800,72022120000,83.82352941176471
2024-03,Central,247,195,45088323900,35331210300,78.94736842105263
2024-03,East,353,300,62972216000,53577578900,84.98583569405099
2024-03,North,422,362,76964205200,66146893500,85.78199052132702
2024-03,Northeast,176,158,31562478600,28241039000,89.77272727272727
2024-03,South,448,379,82980352100,70427648400,84.59821428571429
2024-03,West,480,396,87709906700,72356213800,82.5
2024-04,Central,238,199,47256828900,39814965400,83.61344537815127
2024-04,East,336,291,65378725100,56064412100,86.60714285714286
2024-04,North,416,362,78859061000,68542643400,87.01923076923077
2024-04,Northeast,161,131,30025345100,24446304500,81.36645962732919
2024-04,South,466,395,89748176300,76288690000,84.76394849785407
2024-04,West,491,431,97194137600,86088963500,87.78004073319755
2024-05,Central,256,212,49690699000,41578863900,82.8125
2024-05,East,301,252,60189314700,50136429000,83.72093023255815
2024-05,North,409,348,80095846100,68731006100,85.08557457212714
2024-05,Northeast,170,146,32813778000,27720198500,85.88235294117646
2024-05,South,444,374,89031529000,75227098800,84.23423423423422
2024-05,West,454,377,87346919400,73536474900,83.03964757709251
2024-06,Central,228,202,45278149700,39629257300,88.59649122807018
2024-06,East,289,255,57397059700,50909389100,88.23529411764706
2024-06,North,436,375,85971752000,74635738100,86.0091743119266
2024-06,Northeast,166,141,30847638400,26289630000,84.93975903614458
2024-06,South,441,375,88662028500,75845400100,85.03401360544217
2024-06,West,451,388,88281153100,76302499000,86.0310421286031
2024-07,Central,270,242,53367990200,48084519200,89.62962962962962
2024-07,East,333,288,62903229700,54462784200,86.48648648648648
2024-07,North,413,339,79030223400,64209943100,82.08232445520581
2024-07,Northeast,173,151,33554282300,29551940500,87.28323699421965
2024-07,South,484,422,94596051700,82879007800,87.19008264462809
2024-07,West,496,416,95535287700,80133434000,83.87096774193549
2024-08,Central,270,223,53407296900,44786647900,82.5925925925926
2024-08,East,349,292,70727352000,59587027700,83.66762177650429
2024-08,North,441,375,85037352600,73044460900,85.03401360544217
2024-08,Northeast,164,148,32400278900,28765750700,90.2439024390244
2024-08,South,470,409,91251459100,80328830100,87.02127659574468
2024-08,West,466,398,91938836000,79101868000,85.40772532188842
2024-09,Central,244,212,47631752800,42197112500,86.88524590163934
2024-09,East,345,284,67766380000,55996562100,82.31884057971014
2024-09,North,407,339,79670876100,66271245400,83.29238329238329
2024-09,Northeast,152,126,29280897600,24499038100,82.89473684210526
2024-09,South,458,389,90934978500,77143417700,84.93449781659389
2024-09,West,431,383,83876166000,74815113600,88.8631090487239
2024-10,Central,265,232,51265937900,45306634300,87.54716981132076
2024-10,East,315,268,60366042700,52388042700,85.07936507936508
2024-10,North,387,338,78692864000,68633290400,87.33850129198967
2024-10,Northeast,193,168,37839853000,33009689200,87.04663212435233
2024-10,South,464,396,90139233100,77446845500,85.34482758620689
2024-10,West,499,427,97676888100,83294923200,85.57114228456913
2024-11,Central,258,230,50644784300,46017252700,89.14728682170544
2024-11,East,323,269,63348335000,53507159100,83.28173374613003
2024-11,North,396,342,77756161700,67173540400,86.36363636363636
2024-11,Northeast,184,158,35129979000,30538411800,85.86956521739131
2024-11,South,482,398,94298506800,77358226300,82.57261410788381
2024-11,West,427,363,81432851900,68897383500,85.01170960187353
2024-12,Central,234,196,44199231000,37576056100,83.76068376068376
2024-12,East,336,288,65828709000,56247688600,85.71428571428571
2024-12,North,429,366,83052948000,71485724300,85.3146853146853
2024-12,Northeast,158,133,29236124500,25137281800,84.17721518987342
2024-12,South,526,449,102890814600,87846969500,85.36121673003802
2024-12,West,454,397,91077568800,80980330300,87.44493392070484
2025-01,Central,257,228,50739805900,44520840600,88.715953307393
2025-01,East,370,314,72278183600,61438687100,84.86486486486487
2025-01,North,451,390,87543798900,76210671200,86.47450110864744
2025-01,Northeast,172,147,33892903100,28909145900,85.46511627906976
2025-01,South,458,393,88091855400,75449907800,85.80786026200873
2025-01,West,457,396,91006757500,79731756700,86.65207877461707
2025-02,Central,207,176,41161997600,35316593100,85.02415458937197
2025-02,East,301,261,59573542200,52119330900,86.71096345514951
2025-02,North,376,335,72436081800,64356516700,89.09574468085107
2025-02,Northeast,153,133,29220020700,25372403000,86.9281045751634
2025-02,South,414,355,81267627900,70527957000,85.74879227053141
2025-02,West,418,364,79173990500,68570003600,87.08133971291866
2025-03,Central,256,213,49519627100,40973843800,83.203125
2025-03,East,347,299,68684374800,59758219200,86.1671469740634
2025-03,North,412,355,79463895300,68187259600,86.16504854368931
2025-03,Northeast,147,129,28430891800,25238506900,87.75510204081633
2025-03,South,471,406,90648047800,78247277800,86.1995753715499
2025-03,West,484,421,95088831600,82907163300,86.98347107438018
